79,53,55
23,1,21
143,86,24
27,13,25
35,44,36
26,3,22
41,42,57
13,20,22
2,19,26
61,68,58
23,24,36
38,101,67
48,33,49
14,27,21
9,49,50
1,36,44
4,23,25
10,28,302
18,2,26
12,54,51
24,23,4
20,14,18
27,14,20
20,18,26
3,26,19
89,56,85
41,37,39
23,21,27
20,26,22
13,27,20
23,27,25
16,15,28
11,28,10
9,29,54
41,57,32
88,158,161
181,185,161
36,37,35
33,48,47
33,50,49
33,47,59
102,87,125
132,127,170
138,146,136
46,43,45
23,36,1
37,36,24
24,86,37
35,37,41
138,17,143
65,68,61
34,113,102
41,39,38
34,158,88
42,83,65
41,38,83
41,32,35
61,47,57
73,69,71
35,32,45
43,44,45
45,44,35
43,46,12
45,32,46
46,32,47
57,47,32
52,33,59
12,46,48
47,48,46
29,16,51
12,48,49
52,59,62
9,50,80
29,51,54
54,49,9
59,47,61
64,66,52
16,29,15
98,117,81
54,12,49
52,66,82
61,57,42
91,97,58
62,64,52
98,109,117
65,61,42
73,75,69
58,64,62
94,82,66
55,80,79
59,61,62
70,58,68
122,120,60
58,62,61
50,33,52
67,56,65
42,41,83
82,94,79
65,56,68
64,96,66
60,53,79
67,83,38
140,150,141
71,68,56
71,70,68
40,89,85
69,75,77
78,92,77
58,70,91
56,89,73
71,69,92
72,89,40
124,162,171
56,73,71
111,75,73
184,182,183
124,171,116
111,73,72
77,75,159
162,31,171
70,71,92
111,159,75
76,115,77
104,105,106
96,95,66
55,9,80
60,94,122
82,50,52
79,80,82
81,97,98
81,96,97
95,94,66
50,82,80
128,17,126
65,83,67
39,37,86
40,85,113
101,85,67
86,17,128
179,188,147
39,128,38
127,131,134
101,102,113
34,88,40
40,88,72
73,89,72
56,67,85
213,233,234
87,101,38
103,70,92
107,103,105
77,92,69
103,92,78
119,110,81
53,60,93
60,79,94
94,95,122
97,96,64
81,95,96
58,97,64
97,91,98
103,91,70
109,98,107
120,99,8
110,95,81
132,102,130
74,169,209
135,136,133
101,87,102
125,130,102
105,103,78
91,103,107
115,105,78
99,123,121
105,115,106
107,105,104
197,115,76
106,199,201
212,226,228
107,98,91
227,107,104
201,212,104
118,108,63
180,72,88
120,122,123
77,159,156
155,174,175
197,106,115
40,113,34
101,113,85
168,142,145
34,102,132
77,115,78
77,156,76
159,74,156
198,187,197
118,117,109
81,117,119
108,118,109
119,63,110
117,118,119
63,119,118
93,60,120
8,93,120
95,110,122
110,63,121
123,122,110
121,123,110
120,123,99
74,162,156
149,190,204
126,125,87
131,130,125
128,126,87
155,177,152
131,127,130
145,127,134
38,128,87
128,39,86
126,136,135
129,141,90
126,135,125
130,127,132
135,137,125
140,134,131
153,170,145
180,161,169
131,137,140
134,140,141
168,145,134
136,126,17
137,135,133
17,86,143
138,136,17
148,152,139
125,137,131
24,4,143
294,295,4
148,139,144
149,90,144
165,137,133
152,148,150
204,129,149
134,141,129
129,90,149
31,211,163
144,90,148
154,188,157
168,134,129
149,144,84
145,142,153
138,143,154
133,136,146
148,90,141
295,294,154
133,146,174
141,150,148
161,180,88
165,140,137
155,152,150
167,179,176
145,170,127
155,150,165
114,139,152
183,181,153
170,181,132
140,165,150
146,138,157
174,155,165
146,157,167
198,156,124
210,192,185
175,174,146
162,74,209
34,132,158
288,278,290
164,100,142
163,173,254
230,254,225
304,176,179
111,72,180
177,175,178
168,129,204
142,168,164
181,170,153
245,238,240
158,181,161
116,171,163
84,190,149
156,162,124
190,84,151
175,146,167
164,204,205
255,230,225
194,283,186
111,74,159
247,264,253
174,165,133
181,183,185
192,31,209
211,173,163
138,154,157
111,180,74
31,163,171
175,176,178
176,175,167
167,188,179
177,178,114
152,177,114
155,175,177
5,303,189
176,112,178
304,112,176
132,181,158
74,180,169
183,153,184
182,184,193
